Action,BaseSKU,BaseProductName,BaseUnitsOfMeasure,AdditionalUnitsOfMeasureSKU,AdditionalUnitsOfMeasureProductName,AdditionalUnitsOfMeasureName,NumberOfBaseUnitsInAdditionalUnit,IAmSellingThisProduct
"","64349","Mermaid Make Up Set","Unit","64349-Case Pack 6","Mermaid Make Up Set-Case Pack 6","Case Pack 6",6.0000000000,True,
"","6446","License Nick PYO Rock","Unit","6446-Case Pack 6","License Nick PYO Rock -Case Pack 6","Case Pack 6",6.0000000000,True,
"","64497","6 in 1 Card Games","Unit","64497-Case Pack 6","6 in 1 Card Games-Case Pack 6","Case Pack 6",6.0000000000,True,
"","64515","Water Art -Alphabet","Unit","64515-Case Pack 24, Inner 6","Water Art -Alphabet-Case Pack 24, Inner 6","Case Pack 24, Inner 6",24.0000000000,True,
"","64516","Water Art -Make up","Unit","64516-Case Pack 24, Inner 6","Water Art -Make up-Case Pack 24, Inner 6","Case Pack 24, Inner 6",24.0000000000,True,
"","64575","4 CRYSTAL CHALK","Unit","64575-Case Pack 12, Inner 4","4 CRYSTAL CHALK-Case Pack 12, Inner 4","Case Pack 12, Inner 4",1.0000000000,True,
"","64652","CK READY SET CRAFT","Unit","64652-Case Pack 6","CK READY SET CRAFT-Case Pack 6","Case Pack 6",6.0000000000,True,
"","64678","CK SENSORY STICKER","Unit","64678-Case Pack 6","CK SENSORY STICKER-Case Pack 6","Case Pack 6",6.0000000000,True,
"","64805","Kiddy Dough Molded Containers-Bug","Unit","64805-DELETE 24, Inner 8 PDQ","Kiddy Dough Molded Containers-Bug-Case Pack 24, Inner 8 PDQ","Case Pack 24, Inner 8 PDQ",24.0000000000,True,
"","6480","BABY SHARK DOUGH SET","Unit","6480-Case Pack 6","BABY SHARK DOUGH SET-Case Pack 6","Case Pack 6",6.0000000000,True,
"","64827","Educational Wall Chart-ABC Sound Mat","Unit","64827-Case Pack 6","Educational Wall Chart-ABC Sound Mat-Casepack 6","Case Pack 6",6.0000000000,True,
"","64829","Make and Inflate  Nano Buddies","Unit","64829-Case Pack 12","Make and Inflate  Nano Buddies -Casepack 12","Case Pack 12",12.0000000000,True,
"","64830","Keychain Squishy Kit","Unit","64830-Case Pack 12","Keychain Squishy Kit -Casepack 12","Case Pack 12",12.0000000000,True,
"","64831","Nano Tape - Clear","Unit","64831-Case Pack 12","Nano Tape - Clear-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64832","Inflatable Buddies Trio","Unit","64832-Case Pack 12","Inflatable Buddies Trio-Casepack 12","Case Pack 12",12.0000000000,True,
"","64833","Nano Craft","Unit","64833-Case Pack 12","Nano Craft-Casepack 12","Case Pack 12",12.0000000000,True,
"","64834","Nano Tape - White","Unit","64834-Case Pack 12","Nano Tape - White-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64834","Nano Tape - White","Unit","64834-Case Pack 16 PDQ","Nano Tape - White-Case Pack 16 PDQ","Case Pack 16 PDQ",16.0000000000,True,
"","64835","Nano Tape - Pink","Unit","64835-Case Pack 12","Nano Tape - Pink-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64836","Nano Tape -Yellow","Unit","64836-Case Pack 12","Nano Tape -Yellow-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64837","Nano Tape - Green","Unit","64837-Case Pack 12","Nano Tape - Green-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64838","Nano Tape - Blue","Unit","64838-Case Pack 12","Nano Tape - Blue-Case Pack 12","Case Pack 12",1.0000000000,True,
"","64839","Nano Tape - Purple","Unit","64839-Case Pack 12","Nano Tape - Purple-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64870","Nano Tape-Blue","Unit","64870-Case Pack 12","Nano Tape-Blue-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64871","Nano Type-Yellow","Unit","64871-Case Pack 12","Nano Type-Yellow-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64872","Nano Type-Pureple","Unit","64872-Case Pack 12","Nano Type-Pureple-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64873","Nano Type-Green","Unit","64873-Case Pack 12","Nano Type-Green-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64874","Nano Type-Pink","Unit","64874-Case Pack 12","Nano Type-Pink-Case Pack 12","Case Pack 12",12.0000000000,True,
"","64875","Nano Craft Party Pack","Unit","64875-Case Pack 24","Nano Craft Party Pack-Casepack 24","Case Pack 24",24.0000000000,True,
"","64876","Deluxe Nano Design Studio","Unit","64876-Case Pack 6","Deluxe Nano Design Studio-Casepack 6","Case Pack 6",6.0000000000,True,
"","64905","Mini Play Kits","Unit","64905-Case Pack 48","Mini Play Kits-Casepack 48","Case Pack 48",48.0000000000,True,
"","64906","Nano Tape Deluxe","Unit","64906-Case Pack 12","Nano Tape Deluxe-Casepack 12","Case Pack 12",12.0000000000,True,
"","64907","Deluxe Nano kit","Unit","64907-Case Pack 12","Deluxe Nano kit -Casepack 12","Case Pack 12",12.0000000000,True,
"","64942","Nano Tape Roll-Clear","Unit","64942-Case Pack 32, Inner 16 PDQ","Nano Tape Roll-Clear-Case Pack 32, Inner 16 PDQ","Case Pack 32, Inner 16 PDQ",32.0000000000,True,
"","64956","Nano Tape Roll 3cm*3m header","Unit","64956-Case Pack 12-Case Pack 12 PDQ","Nano Tape Roll 3cm*3m header-Case Pack 12 PDQ","Case Pack 12 PDQ",1.0000000000,True,
"","64991","Gracie Corner 20"" Plush","Unit","64991-Case Pack 4","Gracie Corner 20"" Plush-Casepack 4","Case Pack 4",4.0000000000,True,
"","65090","Friendship Bracelet Kit","Unit","65090-Case Pack 6","Friendship Bracelet Kit-Case Pack 6","Case Pack 6",6.0000000000,True,
"","65091","ABC Bracelet Making Kit","Unit","65091-Case Pack 6","ABC Bracelet Making Kit-Case Pack 6","Case Pack 6",6.0000000000,True,
"","65093","Hair Extension Studio","Unit","65093-Case Pack 6","Hair Extension Studio-Case Pack 6","Case Pack 6",6.0000000000,True,
"","65094","Tattoo Studio","Unit","65094-Case Pack 6","Tattoo Studio-Case Pack 6","Case Pack 6",6.0000000000,True,
"","65125","PAINTABLE STEPPING STONES-Butterfly","Unit","65125-Case Pack 6","PAINTABLE STEPPING STONES-Butterfly-Case Pack 6","Case Pack 6",6.0000000000,True,
"","65126","PAINTABLE STEPPING STONES-Flower","Unit","65126-Case Pack 6","PAINTABLE STEPPING STONES-Flower-Case Pack 6","Case Pack 6",6.0000000000,True,
"","65127","PAINTABLE STEPPING STONES-Flamingo","Unit","65127-Case Pack 6","PAINTABLE STEPPING STONES-Flamingo-Case Pack 6","Case Pack 6",6.0000000000,True,
"","88349","Licensed Stamp Stars","Unit","6516","BBS DOUGH TOPPER 3OZ","Unit",18.0000000000,True,
"","71987","Glow in the dark Sand Art","Unit","71987-Case Pack 6","Glow in the dark Sand Art-Case Pack 6","Case Pack 6",6.0000000000,True,
"","7250","HANDS ON LIGHTING ROD","Unit","7250-Case Pack 12","Energy Rod-Casepack 12","Case Pack 12",12.0000000000,True,
"","7250","HANDS ON LIGHTING ROD","Unit","7250-Case Pack 96, Inner 12","Energy Rod-Casepack 96, Inner 12","Case Pack 96, Inner 12",96.0000000000,True,
"","72760","Glow Kiddy Dough","Unit","72760-Case Pack 12","Glow Kiddy Dough-Case Pack 12","Case Pack 12",12.0000000000,True,
"","72949","DOUGH FACTORY","Unit","72949-Case Pack 6","DOUGH FACTORY-Case Pack 6","Case Pack 6",6.0000000000,True,
"","73608","Spiral art","Unit","73608-Case Pack 6","Spiral art-Case Pack 6","Case Pack 6",6.0000000000,True,
"","74789","SUPER SAND ART","Unit","74789-Case Pack 6","SUPER SAND ART-Case Pack 6","Case Pack 6",6.0000000000,True,
"","75063","BOUNCY BALLS","Unit","75063-Case Pack 6","BOUNCY BALLS-Case Pack 6","Case Pack 6",1.0000000000,True,
"","75394","BME Alphabet Jewelry Kit","Unit","75394-Case Pack 6","BME Alphabet Jewelry Kit-Case Pack 6","Case Pack 6",6.0000000000,True,
"","76080","Loopy Loom","Unit","76080-Case Pack 6","Loopy Loom-Case Pack 6","Case Pack 6",1.0000000000,True,
"","76296","Kiddy Dough Kit 5Pk/Primary Colours/113G","Unit","76296-Case Pack 12","Kiddy Dough Kit 5Pk/Primary Colours/113G-Case Pack 12","Case Pack 12",12.0000000000,True,
"","76296","Kiddy Dough Kit 5Pk/Primary Colours/113G","Unit","76296-Case Pack 6","Kiddy Dough Kit 5Pk/Primary Colours/113G-Case Pack 6","Case Pack 6",6.0000000000,True,
"","76716F","AIR O PLAY COMPOUND","Unit","76716F-Case Pack 24","AIR O PLAY COMPOUND-Casepack 24","Case Pack 24",24.0000000000,True,
"","77007","20PC Jumbo Chalk Set","Unit","77007-Case Pack 12","20PC Jumbo Chalk Set-Casepack 12","Case Pack 12",12.0000000000,True,
"","77007","20PC Jumbo Chalk Set","Unit","77007-Case Pack 6","20PC Jumbo Chalk Set-Casepack 6","Case Pack 6",6.0000000000,True,
"","77987","Zzand Castle Asst Color","Unit","77987-Case Pack 10 PDQ","Zzand Castle Asst Color-Case Pack 10 PDQ","Case Pack 10 PDQ",10.0000000000,True,
"","78573","50PC CHALK IN BUCKET","Unit","78573-Case Pack 4","50PC CHALK IN BUCKET-Casepack 4","Case Pack 4",4.0000000000,True,
"","78582","TIE DYE FESTIVAL BLANKET","Unit","78582-Case Pack 6","TIE DYE FESTIVAL BLANKET-Case Pack 6","Case Pack 6",6.0000000000,True,
"","78607","SPIN & SPLATTER PAINT MACHINE","Unit","78607-Case Pack 6","Spin & Splatter-Casepack 6","Case Pack 6",6.0000000000,True,
"","78759","Jumbo Art Tub","Unit","78759-Case Pack 4","Jumbo Art Tub-Case Pack 4","Case Pack 4",4.0000000000,True,
"","78797","Goozooka Slime Gush Ball","Unit","78797-Case Pack 6","Goozooka Slime Gush Ball-Case Pack 6","Case Pack 6",6.0000000000,True,
"","78932","4 pack slime","Unit","78932-Case Pack 6","4 pack slime-Case Pack 6","Case Pack 6",6.0000000000,True,
"","79235","MEGA ACTIVITY","Unit","79235-Case Pack 6","MEGA ACTIVITY-Case Pack 6","Case Pack 6",1.0000000000,True,
"","8123","Paw Patrol Police Cruiser","Unit","8123-Case Pack 4","Paw Patrol Police Cruiser-Case Pack 4","Case Pack 4",4.0000000000,True,
"","8431","BLUES CLUES AND YOU! DOUGH SET","Unit","8431-Case Pack 6","BLUES CLUES AND YOU! DOUGH SET-Case Pack 6","Case Pack 6",6.0000000000,True,
"","85252 - Case Pack 6","Make Up Gift Set Asst - Case Pack 6","Case Pack 6","85252- 6 Inner Case Pack-Case Pack 24","Make Up Gift Set Asst-Inner 6-Casepack 24","Case Pack 24",4.0000000000,True,
"","85415","SAND ACTIVITY BUCKET","Unit","85415-Case Pack 6","SAND ACTIVITY BUCKET-Case Pack 6","Case Pack 6",1.0000000000,True,
"","85481","My Scret Diary Asst","Unit","85481-Case Pack 8","My Scret Diary Asst-Case Pack 8","Case Pack 8",8.0000000000,True,
"","85935","Asst Zzand Stretch Sand Bag 3 pounds (62947/60921/60922)","Unit","85935-Case Pack 6","Asst Zzand Stretch Sand Bag 3 pounds (62947/60921/60922)-Case Pack 6","Case Pack 6",6.0000000000,True,
"","86033","Butterfly Net Asst","Unit","86033-Case Pack 6","Butterfly Net Asst-Casepack 6","Case Pack 6",1.0000000000,True,
"","86173","PAINTABLE STEPPING STONES ASST","Unit","86173-Case Pack 6","PAINTABLE STEPPING STONES ASST-Case Pack 6","Case Pack 6",6.0000000000,True,
"","08709","Lite Brite Glow Tablet ","Unit","8709-Case Pack 12","Lite Brite Glow Tablet -Case Pack 12","Case Pack 12",12.0000000000,True,
"","08709","Lite Brite Glow Tablet ","Unit","8709-Case Pack 6","Lite Brite Glow Tablet -Case Pack 6","Case Pack 6",6.0000000000,True,
"","8710","Key Chain Glow Tablet","Unit","8710-Case Pack 12, Inner 4 PDQ","Key Chain Glow Tablet-Case Pack 12, Inner 4 PDQ","Case Pack 12, Inner 4 PDQ ",12.0000000000,True,
"","8710","Key Chain Glow Tablet","Unit","8710-Case Pack 24","Key Chain Glow Tablet-Case Pack 24","Case Pack 24",24.0000000000,True,
"","8710","Key Chain Glow Tablet","Unit","8710-Case Pack 32, Inner 8 PDQ","Key Chain Glow Tablet-Case Pack 32, Inner 8 PDQ","Case Pack 32, Inner 8 PDQ ",32.0000000000,True,
"","8735","Deluxe Power Board","Unit","8735-Case Pack 12, Inner 6","Deluxe Power Board-Case Pack 12, Inner 6","Case Pack 12, Inner 6",12.0000000000,True,
"","8735","Deluxe Power Board","Unit","8735-Case Pack 6","Deluxe Power Board-Case Pack 6","Case Pack 6",6.0000000000,True,
"","88307","License Nick PYO Rock Assrt","Unit","88307-Case Pack 6","License Nick PYO Rock Assrt-Case Pack 6","Case Pack 6",6.0000000000,True,
"","9077","AIR CLAY SWEET CREATIONS","Unit","9077-Case Pack 12","Play-Doh Air Clay Sweet Creations-Casepack 12","Case Pack 12",12.0000000000,True,
"","9078","PLAY DOH AIRPLAY KEY CHAIN ACCESSORIES","Unit","9078-Case Pack 12","Play-Doh Air Clay Key Chains Accessories-Casepack 12","Case Pack 12",12.0000000000,True,
"","9080","PLAY DOH AIR CLAY & SCULPTINH","Unit","9080-Case Pack 12","Play-Doh Air Clay Creature Creations-Casepack 12","Case Pack 12",12.0000000000,True,
"","9081","Air Clay Pizza Parlor","Unit","9081-Case Pack 6","Air Clay Pizza Parlor-Casepack 6","Case Pack 6",6.0000000000,True,
"","9082","Air Clay Ice Cream Creations","Unit","9082-Case Pack 6","Air Clay Ice Cream Creations-Casepack 6","Case Pack 6",6.0000000000,True,
"","9083","PLAY DOH AIR CLAY BUCKET","Unit","9083-Case Pack 6","Play-Doh Air Clay Super Color Bucket-Casepack 6","Case Pack 6",6.0000000000,True,
"","9084","My Water Globes","Unit","9084-Case Pack 6","My Water Globes-Casepack 6","Case Pack 6",6.0000000000,True,
"","9094","Air Clay My First Handprint","Unit","9094-Case Pack 12","Air Clay My First Handprint-Casepack 12","Case Pack 12",12.0000000000,True,
"","9110","Play Doh 4 Container pack","Unit","9110-Case Pack 12","Play Doh 4 Container pack-Casepack 12","Case Pack 12",12.0000000000,True,
"","9126","Play Doh Modeling clay 5 color pack (20oz)","Unit","9126-Case Pack 24","Play Doh Modeling clay 5 color pack (20oz)-Casepack 24","Case Pack 24",24.0000000000,True,
"","9157","AIR CLAY BONANZA","Unit","9157-Case Pack 6","Play-Doh AIR CLAY BONANZA-Casepack 6","Case Pack 6",6.0000000000,True,
"","9158","PLAY DOH AIR CLAY TABLE","Unit","9158-Case Pack 6","Play-Doh Air Clay Ultimate Sculpting Studio-Casepack 6","Case Pack 6",6.0000000000,True,
"","9179","Play Doh Egg Decorating","Unit","9179-Case Pack 12","Play Doh Egg Decorating-Case Pack 12","Case Pack 12",1.0000000000,True,
"","9181","PD MOLDIMALS SURPRISE","Unit","9181-Case Pack 8 PDQ","PD MOLDIMALS SURPRISE-Case Pack 8 PDQ","Case Pack 8 PDQ",1.0000000000,True,
"","9192","Galaxy Glow Bonanza","Unit","9192-Case Pack 6","Galaxy Glow Bonanza-Case Pack 6","Case Pack 6",1.0000000000,True,
"","9218","Air clay Dinos assort-Apatosaurus","Unit","9218-Case Pack 24","Air clay Dinos assort-Apatosaurus-Casepack 24","Case Pack 24",1.0000000000,True,
"","9219","Air clay Dinos assort-Triceratops","Unit","9219-Case Pack 24","Air clay Dinos assort-Triceratops-Casepack 24","Case Pack 24",1.0000000000,True,
"","9220","Air clay Dinos assort-Parasaurolophus","Unit","9220-Case Pack 24","Air clay Dinos assort-Parasaurolophus-Casepack 24","Case Pack 24",24.0000000000,True,
"","9221","Air Clay Racers assort-Yellow","Unit","9221-Case Pack 24","Air Clay Racers assort-Yellow-Casepack 24","Case Pack 24",24.0000000000,True,
"","9222","Air Clay Racers assort-Green&Purple","Unit","9222-Case Pack 24","Air Clay Racers assort-Green&Purple-Casepack 24","Case Pack 24",24.0000000000,True,
"","9223","Air Clay Racers assort-Red","Unit","9223-Case Pack 24","Air Clay Racers assort-Red-Casepack 24","Case Pack 24",24.0000000000,True,
"","9224","Air Clay Bakery Shop Foil Bag","Unit","9224-Case Pack 24","Air Clay Bakery Shop Foil Bag-Case Pack 24","Case Pack 24",24.0000000000,True,
"","9225","Air Clay Fast Food Foil Bag","Unit","9225 -Case Pack 24","Air Clay Fast Food Foil Bag-Case Pack 24","Case Pack 24",24.0000000000,True,
"","9226","Air Clay Sweet Shop Foil Bag","Unit","9226-Case Pack 24","Air clay Foodie assort-Sweets-Casepack 24","Case Pack 24",24.0000000000,True,
"","9233","Air Clay Assorted Colors 5oz-Red","Unit","9233-Case Pack 24","Air Clay Assorted Colors 5oz-Red-Casepack 24","Case Pack 24",24.0000000000,True,
"","9234","Air Clay Assorted Colors 5oz-Black","Unit","9234-Case Pack 24","Air Clay Assorted Colors 5oz-Black-Casepack 24","Case Pack 24",24.0000000000,True,
"","9235","Air Clay Assorted Colors 5oz-White","Unit","9235-Case Pack 24","Air Clay Assorted Colors 5oz-White-Casepack 24","Case Pack 24",24.0000000000,True,
"","9236","Air Clay Assorted Colors 5oz-Blue","Unit","9236-Case Pack 24","Air Clay Assorted Colors 5oz-Blue-Casepack 24","Case Pack 24",24.0000000000,True,
"","9237","Air Clay Assorted Colors 5oz-Yellow","Unit","9237-Case Pack 24","Air Clay Assorted Colors 5oz-Yellow-Case Pack 24","Case Pack 24",24.0000000000,True,
"","9238","Air Clay Assorted Colors 5oz-Green","Unit","9238-Case Pack 24","Air Clay Assorted Colors 5oz-Green-Case Pack 24","Case Pack 24",24.0000000000,True,
"","9239","Modeling clay 5oz box -Red","Unit","9239-Case Pack 24","Air Clay Assorted Colors 5oz-Red-Casepack 24","Case Pack 24",24.0000000000,True,
"","9248","Rainbow Glitz Bonanza","Unit","9248-Case Pack 6","Rainbow Glitz Bonanza-Case Pack 6","Case Pack 6",1.0000000000,True,
"","9254","PD Crackle Surprise","Unit","9254-Case Pack 6","PD Crackle Surprise-Casepack 6","Case Pack 6",6.0000000000,True,
"","9259","PD Crackle Surprise","Unit","9259-Case Pack 6","PD Crackle Surprise-Casepack 6","Case Pack 6",6.0000000000,True,
"","9301","Play Doh Crackle Clay","Unit","9301-Case Pack 24","Play Doh Crackle Clay-Case Pack 24","Case Pack 24",24.0000000000,True,
"","9307","Play Doh Crunchy Clay Donuts","Unit","9307-Case Pack 6","Play Doh Crunchy Clay Donuts-Case Pack 6","Case Pack 6",6.0000000000,True,
"","9340","Air Clay White 5OZ","Unit","9340-Case Pack 12","Air Clay White 5OZ-Case Pack 12","Case Pack 12",12.0000000000,True,
"","9341","AIR DRY CLAY White  5PK container","Case Pack 4","9341-Case Pack 4","AIR DRY CLAY White  5PK container -Casepack 4","Unit",1.0000000000,True,
"","9342","AIRCLAY MULTICOLOR","Unit","9342-Case Pack 6","AIRCLAY MULTICOLOR-Case Pack 6","Case Pack 6",6.0000000000,True,
"","9345","PD AIR CLAY DINO ASST_15% larger","Unit","9345-Case Pack 24","PD AIR CLAY DINO ASST_15% larger-Casepack 24","Case Pack 24",24.0000000000,True,
"","9346","PD AIR CLAY CAR ASST_15% larger","Unit","9346-Case Pack 24","PD AIR CLAY CAR ASST_15% larger-Casepack 24","Case Pack 24",24.0000000000,True,
"","9419","PLAY DOH PUTTY 40G","Unit","9419-Case Pack 24","PLAY DOH PUTTY 40G-Case Pack 24","Case Pack 24",24.0000000000,True,
"","BM-UNILAT-77876","Ultimate Unicorn Latch Hook Kit for Kids","Unit","BM-UNILAT-77876-Case Pack 12","Ultimate Unicorn Latch Hook Kit for Kids-Case Pack 12","Case Pack 12",1.0000000000,True,
"","CIU-HCASTINGK-60924","DIY Hand Casting Kit","Unit","CIU-HCASTINGK-60924-Case Pack 6","DIY Hand Casting Kit-Casepack 6","Case Pack 6",6.0000000000,True,
"","CK-36CRAY-77532","Bulk Classroom Crayons - 36 Packs of 24 Crayon Sets","Unit","CK-36CRAY-77532-Case Pack 3","Bulk Classroom Crayons - 36 Packs of 24 Crayon Sets-Case Pack 3","Case Pack 3",3.0000000000,True,
"","CK-ADCLAY-78722","Air Dry Clay Modeling Crafts Kit For Children","Unit","CK-ADCLAY-78722-Case Pack 12","Air Dry Clay Modeling Crafts Kit For Children-Case Pack 12","Case Pack 12",12.0000000000,True,
"","KDTOOL-42ABC-76699","42-Piece Tools Party Pack w/Letters and Numbers","Unit","KDTOOL-42ABC-76699-Case Pack 24","42-Piece Tools Party Pack w/Letters and Numbers-Casepack 24","Case Pack 24",24.0000000000,True,
"","PD-DVP80PACK-09117","Play-Doh Air Clay - Deluxe Value 80 Pack","Unit","PD-DVP80PACK-09117-Case Pack 4","Play-Doh Air Clay - Deluxe Value 80 Pack-Casepack 4","Case Pack 4",4.0000000000,True,
